audio,palabra
Sounds/p000a.mp3,amor
Sounds/p000b.mp3,casa
Sounds/p000c.mp3,fuego
Sounds/p000d.mp3,luz
Sounds/p000e.mp3,mesa
Sounds/p000f.mp3,sol
Sounds/p000g.mp3,luna
Sounds/p000h.mp3,río
Sounds/p000i.mp3,vida
Sounds/p000j.mp3,tiempo
Sounds/p000k.mp3,fiesta
Sounds/p000l.mp3,paz
Sounds/p000m.mp3,cielo
Sounds/p000n.mp3,mar
Sounds/p000o.mp3,árbol
Sounds/p000p.mp3,monte
Sounds/p000q.mp3,música
Sounds/p000r.mp3,danza
Sounds/p000s.mp3,flor
Sounds/p000t.mp3,agua
Sounds/p000u.mp3,guitarra
Sounds/p000v.mp3,violín
Sounds/p000w.mp3,piano
Sounds/p000x.mp3,baile
Sounds/p000y.mp3,tejido
Sounds/p000z.mp3,pintura
Sounds/p001a.mp3,canto
Sounds/p001b.mp3,coro
Sounds/p001c.mp3,arte
Sounds/p001d.mp3,tela
Sounds/p001e.mp3,clavo
Sounds/p001f.mp3,herramienta