OraciónARellenar,Opción1,Opción2,Opción3,OpciónCorrecta,OraciónCompleta
Ayer__________ en el parque con mi amigo.,voy a estar,estás,estuviste,estuviste,Ayer estuviste en el parque con mi amigo.
Ella__________ toda la noche.,trabajo,trabajará,trabajaran,trabajó,Ella trabajó toda la noche.
Ellos__________ al cine ayer por la noche.,fueron,iba,íbamos,fueron,Ellos fueron al cine ayer por la noche.
Mi hermano__________ al supermercado a comprar pan.,fue,iban,van,fue,Mi hermano fue al supermercado a comprar pan.
Mi perro__________ corriendo por el parque.,corría,corrieron,corren,corría,Mi perro corría por el parque.
Nosotros__________ al parque a jugar al frisbee.,fuimos,fueron,fue,fuimos,Nosotros fuimos al parque a jugar al frisbee.
Ella__________ una carta a su amiga.,escribió,escribían,van a escribir,escribió,Ella escribió una carta a su amiga.
Yo__________ mi tarea toda la tarde.,hice,hacían,hizo,hice,Yo hice mi tarea toda la tarde.
Mi madre__________ la cena para nosotros.,cocinarán,cocinabas,cocinó,cocinó,Mi madre cocinó la cena para nosotros.
Tú__________ una película anoche.,viste,vieron,verán,viste,Tú viste una película anoche.
El niño__________ con sus juguetes toda la tarde.,jugaban,jugó,juegas,jugó,El niño jugó con sus juguetes toda la tarde.
Ayer__________ al museo con mi familia.,irán,iban,iría,fui,Ayer fui al museo con mi familia.
Mis amigos__________ al parque para jugar al baloncesto.,vas,voy,fueron,fueron,Mis amigos fueron al parque para jugar al baloncesto.
Yo__________ al gimnasio todas las mañanas.,van,vas,fuimos,voy,Yo voy al gimnasio todas las mañanas.
Ella__________ una novela toda la tarde.,leo,leyeron,leían,leyó,Ella leyó una novela toda la tarde.
Mi padre__________ a trabajar todos los días.,van,han ido,va,va,Mi padre va a trabajar todos los días.
Nosotros__________ una caminata por el bosque ayer.,hicimos,haríamos,hicieron,hicimos,Nosotros hicimos una caminata por el bosque ayer.
El gato__________ durmiendo en el sofá.,dormías,dormía,durmieron,dormía,El gato dormía en el sofá.
Mi abuela__________ las galletas para nosotros.,hizo,hacían,hice,hizo,Mi abuela hizo las galletas para nosotros.
Mi tío__________ al campo con su familia.,fueron,fue,fuí,fue,Mi tío fue al campo con su familia.
Nosotros__________ al parque para hacer picnic.,fuimos,fueron,fue,fuimos,Nosotros fuimos al parque para hacer picnic.
Ayer, ellos__________ al cine.,fueron,fuimos,fue,fueron,Ayer, ellos fueron al cine.
Mañana, yo__________ al supermercado.,iré,vas,va,iré,Mañana, yo iré al supermercado.
El niño__________ con sus amigos en el parque.,jugaba,jugaban,jugué,jugaba,El niño jugaba con sus amigos en el parque.
Ella__________ su tarea antes de ir a dormir.,haces,han hecho,hacía,hacía,Ella hacía su tarea antes de ir a dormir.
Ellos__________ la casa todos los días.,limpia,limpian,limpiaste,limpian,Ellos limpian la casa todos los días.
Yo__________ el desayuno para mi familia cada mañana.,hago,hacían,hizo,hago,Yo hago el desayuno para mi familia cada mañana.
Tú__________ a la biblioteca cada semana.,vas,va,irán,vas,Tú vas a la biblioteca cada semana.
Nosotros__________ al museo el fin de semana pasado.,fuimos,fueron,fue,fuimos,Nosotros fuimos al museo el fin de semana pasado.
Ella__________ una clase de yoga todos los días.,toma,tomaban,tomé,toma,Ella toma una clase de yoga todos los días.
El perro__________ con su dueño por el parque.,corre,corrían,correrán,corre,El perro corre con su dueño por el parque.
Nosotros__________ una excursión a la montaña el próximo mes.,haremos,hicimos,hacemos,haremos,Nosotros haremos una excursión a la montaña el próximo mes.
Yo__________ una siesta después de almorzar.,tomo,tomaron,tomaban,tomo,Yo tomo una siesta después de almorzar.
Ella__________ un pastel para su cumpleaños.,hice,hizo,hacían,hizo,Ella hizo un pastel para su cumpleaños.
Ellos__________ un viaje a la playa este verano.,hacen,hace,harán,harán,Ellos harán un viaje a la playa este verano.
Tú__________ al gimnasio todas las mañanas.,vas,va,irán,vas,Tú vas al gimnasio todas las mañanas.
Mi hermano__________ un partido de básquetbol ayer por la tarde.,jugó,jugabas,juega,jugó,Mi hermano jugó un partido de básquetbol ayer por la tarde.
Nosotros__________ una cena romántica esta noche.,tendremos,tuvimos,tendrán,tendremos,Nosotros tendremos una cena romántica esta noche.
El pájaro__________ de rama en rama.,vuela,volaban,han volado,vuela,El pájaro vuela de rama en rama.
Mi prima__________ su boda en el campo el próximo mes.,tendrán,tendrá,tuvo,tendrá,Mi prima tendrá su boda en el campo el próximo mes.
Tú__________ a la escuela mañana temprano.,irás,irán,irá,irás,Tú irás a la escuela mañana temprano.
Mi papá__________ en su jardín todos los días.,trabaja,trabajabas,trabajarán,trabaja,Mi papá trabaja en su jardín todos los días.
Nosotros__________ al parque después de comer.,iremos,fui,fueron,iremos,Nosotros iremos al parque después de comer.