sentencia,pregunta,opcion1,opcion2,opcion3,solucion
Los pájaros vuelan hacia el sur en invierno.,¿Por qué los pájaros vuelan hacia el sur en invierno?,Para encontrar alimento.,Para escapar del frío.,Para formar nuevos grupos sociales.,Para escapar del frío
La lluvia detiene el partido de fútbol.,¿Qué impacto tiene la lluvia en el partido de fútbol?,El partido puede continuar con un retraso.,El partido se cancela.,El partido se juega con una pelota mojada.,El partido se cancela
El nuevo edificio tiene 50 pisos.,¿Cuántos niveles tendrá el edificio?,100,50,75,50
La empresa informó un aumento del 10% en las ganancias.,¿Cómo ha impactado el rendimiento de la empresa?,Ha disminuido,Ha aumentado,Ha mantenido el mismo nivel,Ha aumentado
El auto se detuvo en el borde del acantilado.,¿Qué situación ha ocurrido con el auto?,El auto se ha estacionado.,El auto ha tenido un accidente.,El auto está en el borde del acantilado por una razón desconocida.,El auto está en el borde del acantilado por una razón desconocida
La banda tocó su último concierto en vivo.,"¿Qué habrá sucedido con la banda después de su último concierto en vivo?",Se han retirado,Están en una gira,Están trabajando en su próximo álbum,Se han retirado
El abogado presentó sus argumentos ante el juez,"¿Qué ha ocurrido con el caso después de que el abogado presentara sus argumentos ante el juez?",Ha ganado el caso,Ha perdido el caso,El juez aún no ha decidido,El juez aún no ha decidido
El partido de fútbol terminó en empate.,"¿Qué sucedió con el resultado del partido de fútbol?",Ningún equipo ganó,Ambos equipos ganaron,Un equipo ganó,Ningún equipo ganó
El vuelo de avión ha sido cancelado debido a la tormenta.,"¿Qué sucederá con los pasajeros del vuelo de avión cancelado?",El vuelo será reprogramado,Los pasajeros tendrán que buscar otro medio de transporte,Los pasajeros recibirán un reembolso,El vuelo será reprogramado
El edificio está siendo construido en el centro de la ciudad.,"¿Qué tipo de edificio se está construyendo en el centro de la ciudad?",Será un edificio residencial,Será un edificio de oficinas,Será un edificio comercial,Será un edificio de oficinas
El restaurante ofrece un menú vegetariano.,"¿Qué opciones de comida ofrece el restaurante?",No ofrecen carne,Ofrecen carne y opciones vegetarianas,No ofrecen opciones vegetarianas,Ofrecen carne y opciones vegetarianas
La escultura fue hecha con mármol,"¿De qué material está hecha la escultura?",De plástico,De un mineral,De un metal,De un mineral
El científico presentó sus hallazgos en la conferencia.,"¿Cómo fueron recibidos los hallazgos del científico en la conferencia?",Los hallazgos son revolucionarios,Los hallazgos son insípidos,Los hallazgos son confusos,Los hallazgos son revolucionarios
El coche tiene un problema en el motor.,"¿Qué necesita hacerse con el coche debido a su problema en el motor?",Reparar el motor,Reemplazar el coche,Vender el coche,Reparar el motor
El actor ganó el premio a la mejor interpretación.,"¿Qué le ha sucedido al actor que ganó el premio a la mejor interpretación?",Se ha hecho muy popular,Se ha retirado de la industria,Ha desaparecido de la vista pública,Se ha hecho muy popular
El equipo de béisbol ganó la final,"¿Qué ha sucedido con el equipo de béisbol después de ganar la final?",Han ganado el campeonato,Han perdido el campeonato,Estarán compitiendo en otra final,Han ganado el campeonato
El doctor diagnosticó una enfermedad.,"¿Qué necesita hacer el paciente después de ser diagnosticado con una enfermedad?",Comenzar un tratamiento,Esperar a ver si la enfermedad desaparece,Ignorar la enfermedad,Comenzar un tratamiento
El turista visitó la Torre Eiffel.,"¿Qué ha hecho el turista durante su viaje a París?",Ha visitado la Torre Eiffel,No ha visitado la Torre Eiffel,Ha visitado la Basilica de Sacre-Coeur,Ha visitado la Torre Eiffel
El maestro dio una lección sobre historia.,"¿Sobre qué tema se dio la lección del maestro?",Sobre matemáticas,Sobre biología,Sobre historia,Sobre historia
El equipo de baloncesto perdió el partido.,"¿Qué ha sucedido con el equipo de baloncesto después de perder el partido?",Se han retirado,Han ganado el siguiente partido,Están entrenando para mejorar,Están entrenando para mejorar
La novela fue publicada en el año 2000.,"¿En qué año fue publicada la novela?",En 1990,En 2000,En 2010,En 2000
El artista hizo una pintura al óleo.,"¿Qué tipo de pintura hizo el artista?",Pintura al óleo,Pintura al acuarela,Escultura,Pintura al óleo
El corredor cruzó la meta primero.,"¿Qué ha sucedido con el corredor después de cruzar la meta primero?",Ha ganado la carrera,Ha perdido la carrera,Está en segundo lugar,Ha ganado la carrera
Sheherazade contó las historias durante 1001 noches para salvar su vida.,¿Cuál fue el objetivo de Sheherazade al contar historias?,Entretener a su marido,Salvar su vida,Enseñar a su marido una lección,Salvar su vida
El rey Shahriyar estaba enojado con todas las mujeres por la infidelidad de su esposa anterior.,¿Por qué el rey Shahriyar estaba enojado con todas las mujeres?,Por la belleza de las mujeres,Por la infidelidad de su esposa anterior,Por la mala suerte en su matrimonio,Por la infidelidad de su esposa anterior
Simbad el Marino emprendió su primer viaje cuando era joven e inexperto.,¿Qué edad tenía Simbad el Marino cuando emprendió su primer viaje?,Joven e inexperto,Experimentado,Mayor,Joven e inexperto
El califa Harun al-Rashid aparece en muchas historias como un personaje importante.,¿Quién es el califa Harun al-Rashid en "Las Mil y Una Noches"?,Un personaje importante,Un personaje secundario,Un personaje desconocido,Un personaje importante
La historia de 'El Jardín de los Deseos' trata sobre un hombre que descubre un jardín mágico.,¿De qué trata la historia de "El Jardín de los Deseos"?,De un hombre que descubre un jardín mágico,De un hombre que viaja por el mar,De un rey cruel y despiadado,De un hombre que descubre un jardín mágico
Ali Baba y los cuarenta ladrones trata sobre un hombre que descubre un grupo de ladrones y su tesoro escondido.,¿De qué trata la historia de "Ali Baba y los cuarenta ladrones"?,De un hombre que descubre un grupo de ladrones y su tesoro escondido,De un rey justo y sabio,De un hombre rico que no comparte su fortuna,De un hombre que descubre un grupo de ladrones y su tesoro escondido
La historia de Aladino y la lámpara maravillosa trata sobre un hombre pobre que encuentra una lámpara mágica con un genio dentro.,¿De qué trata la historia de "Aladino y la lámpara maravillosa"?,De un hombre pobre que encuentra una lámpara mágica con un genio dentro,De un rey justo y sabio,De un hombre rico que no comparte su fortuna,De un hombre pobre que encuentra una lámpara mágica con un genio dentro
La historia de 'Las dos hermanas enamoradas de un solo hombre' trata sobre dos hermanas que se enamoran del mismo hombre.,¿De qué trata la historia de "Las dos hermanas enamoradas de un solo hombre"?,De dos hermanas que se enamoran del mismo hombre,De un rey justo y sabio,De un hombre rico que no comparte su fortuna,De dos hermanas que se enamoran del mismo hombre
La historia de 'La Isla de los Perdidos' trata sobre un hombre que viaja a una isla misteriosa en busca de aventuras.,¿De qué trata la historia de "La Isla de los Perdidos"?,De un hombre que viaja a una isla misteriosa en busca de aventuras,De un rey justo y sabio,De un hombre rico que no comparte su fortuna,De un hombre que viaja a una isla misteriosa en busca de aventuras